STN---;YEARMODA;TEMP;DEWP;VISIB;;WDSP;;MXSPD;GUST;MAX;MIN;PRCP;SNDP;FRSHTT
85360;19900625;73,3;64,1;5,9;24;5,1;24;12;999,9;80.6*;66.2*;0.00I;999,9;0
85360;19900626;71,9;64,5;4,3;24;5,2;23;15;999,9;84.2*;64.4*;0.00I;999,9;0
85360;19900627;68;59,9;6,8;23;10,2;23;15,9;27;77.0*;64.4*;0.00I;999,9;0
85360;19900628;69,9;58,9;6,5;24;9,3;24;17,1;20;78.8*;62.6*;0.00I;999,9;0
85360;19900705;72,2;63,7;6,8;24;11,9;24;21;33;82.4*;64.4*;0.00I;999,9;0
85360;19900706;71,2;56;6,3;24;12,4;24;19;22,9;84.2*;60.8*;0.00I;999,9;0
85360;19900707;78,5;56,5;6,2;24;6,5;24;14;999,9;91.4*;66.2*;0.00I;999,9;0
85360;19900708;83,3;55,2;6,2;23;6,1;23;15;999,9;91.4*;73.4*;0.00I;999,9;0
85360;19900709;81,5;58;6,3;24;10,5;24;20;22,9;95.0*;69.8*;0.00I;999,9;0
85360;19900710;80;61,2;6,2;24;6,9;24;14;999,9;96.8*;66.2*;0.00I;999,9;0
85360;19900711;76,8;62,1;5,4;21;3,8;21;8,9;999,9;86.0*;68.0*;0.00I;999,9;0
85360;19900712;73;61,5;5,5;22;6,9;22;11,1;999,9;86.0*;64.4*;0.00I;999,9;0
85360;19900713;70,8;58,5;6,8;22;6,2;21;11,1;999,9;78.8*;62.6*;0.00I;999,9;0
85360;19900714;70,5;60,1;6,8;22;7,3;22;13;999,9;77.0*;62.6*;0.00I;999,9;0
85360;19900715;72,9;60,7;6,5;24;10,1;24;17,1;18,1;84.2*;64.4*;0.00I;999,9;0
85360;19900716;81,9;60,7;6,2;24;6,6;24;15,9;999,9;100.4*;66.2*;0.00I;999,9;0
85360;19900717;86,7;59,4;5,4;24;6,3;24;17,1;999,9;100.4*;73.4*;0.00I;999,9;0
85360;19900718;86,9;61,8;5,5;24;5,3;24;15,9;999,9;102.2*;71.6*;0.00I;999,9;0
85360;19900719;87,4;62,3;5,3;24;4,4;24;8,9;999,9;100.4*;77.0*;0.00I;999,9;0
85360;19900720;80,8;66,1;5;24;5,3;24;14;999,9;95.0*;71.6*;0.00I;999,9;0
85360;19900721;77,6;66,6;4,5;24;3,1;24;8,9;999,9;89.6*;68.0*;99,99;999,9;10000
85360;19900722;85,9;64,2;6,3;23;5,9;23;13;999,9;102.2*;73.4*;99,99;999,9;10010
85360;19900723;82,8;65;5,4;22;5,3;22;9,9;999,9;95.0*;71.6*;0.00I;999,9;0
85360;19900724;78,9;65,6;5,7;22;6,1;22;14;999,9;93.2*;69.8*;0.00I;999,9;0
85360;19900725;72,4;64,5;6,1;23;7,5;23;12;999,9;80.6*;64.4*;0.00I;999,9;0
85360;19900726;73,7;64,2;5;22;6,5;22;12;999,9;80.6*;68.0*;0.00I;999,9;0
85360;19900727;71;64,6;6,8;22;4,7;22;12;999,9;78.8*;64.4*;99,99;999,9;10000
85360;19900728;70,5;59,2;6,7;24;8,9;24;15;25,1;78.8*;62.6*;0.00I;999,9;0
85360;19900729;73,2;58,1;6,2;23;7,4;23;18,1;999,9;89.6*;60.8*;0.00I;999,9;0
85360;19900730;74,3;56,7;6,2;24;11;24;19;28,9;89.6*;64.4*;0.00I;999,9;0
85360;19900731;74,9;64;6,6;24;11,2;24;17,1;26;86.0*;66.2*;0.00I;999,9;0
85360;19900801;73,9;64,1;5,7;24;8,6;24;14;20;86.0*;66.2*;0.00I;999,9;0
85360;19900802;74;61,8;5,6;24;8,1;24;13;15,9;89.6*;64.4*;0.00I;999,9;0
85360;19900803;79;57,6;5,1;24;4,7;24;11,1;999,9;102.2*;60.8*;0.00I;999,9;0
85360;19900804;86,6;54,4;5,6;24;4,8;24;14;999,9;102.2*;71.6*;0.00I;999,9;0
85360;19900805;87,8;60,3;5,8;24;6,6;24;20;999,9;102.2*;73.4*;0.00I;999,9;0
